filename,split,qa1_rmse_m,qa2_sam_deg,ssim,score_qa1,score_qa2,score_ssim,score_comb,weight
ASMSpotter-1-1-1-1.png,train,inf,180.0,0.3687109053134918,0.0,0.0,0.3687109053134918,0.12290363510449727,0.30304033660618046
ASMSpotter-1-1-1-2.png,train,inf,180.0,0.3058773577213287,0.0,0.0,0.3058773577213287,0.10195911924044289,0.25139798174743244
ASMSpotter-1-2-1-1.png,train,0.856582,10.710183,0.6027140021324158,0.19676350592809622,0.0,0.6027140021324158,0.26649250268683733,0.6570837196847691
ASMSpotter-1-2-1-2.png,train,0.847436,11.855405,0.7189828753471375,0.20533991889822822,0.0,0.7189828753471375,0.30810759808178856,0.7596929916209648
ASMSpotter-1-2-1-3.png,train,0.77385,11.367747,0.6641015410423279,0.2743431908007139,0.0,0.6641015410423279,0.31281491061434724,0.771299691237003
ASMSpotter-1-2-2-1.png,train,0.903685,7.829679,0.5453965663909912,0.15259394763680723,0.15136276892091505,0.5453965663909912,0.2831177609829045,0.6980761920874061
ASMSpotter-1-2-2-2.png,train,1.012948,8.718163,0.6142545342445374,0.05013553845732588,0.055062447845418805,0.6142545342445374,0.239817506849094,0.5913118675278721
ASMSpotter-1-2-2-3.png,train,0.686946,8.593446,0.5909968614578247,0.3558350553050169,0.06858017820811824,0.5909968614578247,0.33847069832365334,0.8345585080874115
ASMSpotter-1-2-3-1.png,train,0.651099,10.006168,0.6738981604576111,0.38944960546249796,0.0,0.6738981604576111,0.35444925530670296,0.8739564256714392
ASMSpotter-1-2-3-2.png,train,0.43753,10.478224,0.7924851775169373,0.589718131771062,0.0,0.7924851775169373,0.4607344364293331,1.1360210670977537
ASMSpotter-1-2-3-3.png,train,1.04925,11.270006,0.7431410551071167,0.016094324413838734,0.0,0.7431410551071167,0.25307845984031846,0.624009058744085
ASMSpotter-1-2-3-5.png,train,1.025002,10.411767,0.7350713610649109,0.03883222750806159,0.0,0.7350713610649109,0.2579678628576575,0.6360647341919097
ASMSpotter-1-2-3-8.png,train,0.742661,9.596024,0.6394373178482056,0.30358982803288626,0.0,0.6394373178482056,0.31434238196036396,0.7750659381056139
ASMSpotter-1-3-2-1.png,train,0.865611,11.044122,0.5912299752235413,0.18829680652865133,0.0,0.5912299752235413,0.2598422605840642,0.6406863885267159
ASMSpotter-1-3-2-2.png,train,0.899696,11.366714,0.7030275464057922,0.15633452399126335,0.0,0.7030275464057922,0.2864540234656852,0.7063023288076816
ASMSpotter-1-3-2-3.png,train,0.844201,10.732456,0.6511651277542114,0.20837345224158887,0.0,0.6511651277542114,0.2865128599986001,0.7064474005358214
ASMSpotter-1-3-2-5.png,train,0.931663,12.221774,0.6173983216285706,0.1263583384001623,0.0,0.6173983216285706,0.2479188866762443,0.6112872317040967
ASMSpotter-1-3-3-1.png,train,0.794458,10.214082,0.6584210395812988,0.2550185987945385,0.0,0.6584210395812988,0.30447987945861243,0.7507482189806348
ASMSpotter-1-3-3-2.png,train,inf,180.0,0.7663179636001587,0.0,0.0,0.7663179636001587,0.2554393212000529,0.6298301739659917
ASMSpotter-1-3-3-3.png,train,0.643118,11.225779,0.718123197555542,0.3969335713398896,0.0,0.718123197555542,0.37168558963181053,0.9164556125449292
ASMSpotter-1-3-3-5.png,train,1.008596,10.066988,0.719697892665863,0.05421650819776036,0.0,0.719697892665863,0.25797146695454115,0.6360736207210336
ASMSpotter-10-1-1-1.png,train,inf,180.0,0.2052689045667648,0.0,0.0,0.2052689045667648,0.0684229681889216,0.168708755391451
